ingestion_timestamp,temperature_celsius,windspeed_kmh,wind_direction,weather_code,is_day,location_lat,location_lon
2026-02-24T19:18:58.687759,3.0,8.9,310,2,False,45.4375,23.375
2026-02-24T19:23:48.206314,3.0,8.9,310,2,False,45.4375,23.375
2026-02-24T19:32:59.817752,3.0,9.2,312,2,False,45.4375,23.375
2026-02-24T19:35:34.517407,3.0,9.2,312,2,False,45.4375,23.375
2026-02-24T19:35:59.057140,3.0,9.2,312,2,False,45.4375,23.375
2026-02-24T19:39:36.896174,3.0,9.2,312,2,False,45.4375,23.375
2026-02-24T20:12:02.338571,2.9,8.9,313,2,False,45.4375,23.375
2026-02-24T20:19:18.851479,2.8,8.9,313,2,False,45.4375,23.375
2026-02-24T20:19:25.120499,2.8,8.9,313,2,False,45.4375,23.375
2026-02-24T20:19:34.422623,2.8,8.9,313,2,False,45.4375,23.375
